... using circuit method 1
************
Executing VQE with num_qubits 4
************
Executing VQE with num_qubits 6
************
Executing VQE with num_qubits 8
         1237734946 function calls (1185790356 primitive calls) in 1359.740 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   814640    0.640    0.000    0.640    0.000 gate.py:120(_broadcast_single_argument)
   556670    0.385    0.000    0.419    0.000 gate.py:131(_broadcast_2_arguments)
   122456    0.164    0.000    0.449    0.000 gate.py:153(_broadcast_3_or_more_args)
   538507    0.157    0.000    0.212    0.000 gate.py:155(<genexpr>)
   746883    1.587    0.000    2.530    0.000 gate.py:161(broadcast_arguments)
  2188152    0.287    0.000    0.287    0.000 gate.py:204(<genexpr>)
  6073329    2.331    0.000    3.312    0.000 gate.py:216(validate_parameter)
  6728123    6.192    0.000   29.684    0.000 gate.py:26(__init__)
   588965    0.504    0.000    5.660    0.000 gate.py:43(to_matrix)
      282    0.008    0.000    0.106    0.000 gate_direction.py:50(__init__)
      282    0.001    0.000    0.007    0.000 genericpath.py:27(isfile)
   239559    1.653    0.000    2.202    0.000 h.py:100(__array__)
        1    0.000    0.000    0.000    0.000 h.py:169(__init__)
   462349    0.292    0.000    1.525    0.000 h.py:51(__init__)
      616    0.005    0.000    0.031    0.000 h.py:55(_define)
   230000    0.094    0.000    0.793    0.000 h.py:96(inverse)
    87402    0.024    0.000    0.030    0.000 inspect.py:158(isfunction)
    43701    0.332    0.000    0.885    0.000 inspect.py:2124(_signature_from_function)
    43701    0.171    0.000    1.191    0.000 inspect.py:2218(_signature_from_callable)
      282    0.000    0.000    0.000    0.000 inspect.py:2246(<lambda>)
   131949    0.170    0.000    0.305    0.000 inspect.py:2489(__init__)
   388233    0.039    0.000    0.039    0.000 inspect.py:2539(name)
     4230    0.000    0.000    0.000    0.000 inspect.py:2543(default)
   277434    0.027    0.000    0.027    0.000 inspect.py:2551(kind)
    43701    0.013    0.000    0.013    0.000 inspect.py:2631(__init__)
    43701    0.130    0.000    0.198    0.000 inspect.py:2772(__init__)
   175650    0.051    0.000    0.069    0.000 inspect.py:2821(<genexpr>)
    43701    0.027    0.000    1.218    0.000 inspect.py:2851(from_callable)
    43701    0.007    0.000    0.007    0.000 inspect.py:2857(parameters)
    43701    0.331    0.000    0.483    0.000 inspect.py:2901(_bind)
    43701    0.027    0.000    0.510    0.000 inspect.py:3032(bind)
    43701    0.034    0.000    1.252    0.000 inspect.py:3103(signature)
    43701    0.062    0.000    0.098    0.000 inspect.py:493(unwrap)
    43983    0.015    0.000    0.021    0.000 inspect.py:513(_is_wrapper)
     2306    0.000    0.000    0.000    0.000 instruction.py:200(_define)
 12175069    1.669    0.000    1.669    0.000 instruction.py:204(params)
  6736044    6.449    0.000   10.782    0.000 instruction.py:209(params)
   814790    0.310    0.000    0.759    0.000 instruction.py:222(is_parameterized)
  1190558    0.142    0.000    0.171    0.000 instruction.py:224(<genexpr>)
    95165    0.031    0.000  128.104    0.001 instruction.py:228(definition)
  6244709    1.502    0.000    1.502    0.000 instruction.py:235(definition)
   378507    0.814    0.000    1.567    0.000 instruction.py:283(assemble)
   105730    0.039    0.000    0.054    0.000 instruction.py:288(<listcomp>)
   378507    0.034    0.000    0.034    0.000 instruction.py:305(label)
6831444/4339857    2.265    0.000  146.204    0.000 instruction.py:412(copy)
6301459/4339879    4.719    0.000  133.852    0.000 instruction.py:430(__deepcopy__)
  8509519    1.193    0.000    1.193    0.000 instruction.py:536(name)
  5855211    0.605    0.000    0.605    0.000 instruction.py:546(num_qubits)
   445548    0.046    0.000    0.046    0.000 instruction.py:556(num_clbits)
  6728687    8.987    0.000   21.912    0.000 instruction.py:57(__init__)
      564    0.000    0.000    0.000    0.000 instruction_durations.py:37(__init__)
      282    0.000    0.000    0.001    0.000 instruction_durations.py:62(from_backend)
      282    0.000    0.000    0.001    0.000 instruction_durations.py:94(update)
   749189    0.562    0.000    0.814    0.000 instructionset.py:151(add)
   747447    0.321    0.000    0.321    0.000 instructionset.py:94(__init__)
        1    0.000    0.000    0.000    0.000 ion_decompose.py:13(<module>)
        4    0.000    0.000    0.001    0.000 ion_decompose.py:25(cnot_rxx_decompose)
        4    0.000    0.000    0.000    0.000 iswap.py:79(__init__)
      282    0.000    0.000    0.000    0.000 job.py:49(__init__)
      282    0.000    0.000    0.001    0.000 layout_2q_distance.py:33(__init__)
     2602    0.001    0.000    0.011    0.000 lazy_tester.py:112(__bool__)
        1    0.000    0.000    0.009    0.009 lazy_tester.py:286(_is_available)
      757    0.001    0.000    0.003    0.000 level1.py:286(_opt_control)
      282    0.000    0.000    0.000    0.000 level1.py:332(_contains_delay)
      282    0.012    0.000    0.552    0.002 level1.py:68(level_1_pass_manager)
       35    0.000    0.000    0.000    0.000 lie_trotter.py:47(__init__)
    10418    0.573    0.000  127.905    0.012 lie_trotter.py:69(synthesize)
    10418    0.088    0.000    2.107    0.000 lie_trotter.py:79(<listcomp>)
   726280    0.168    0.000    0.229    0.000 linalg.py:116(isComplexType)
   363140    0.149    0.000    0.236    0.000 linalg.py:129(_realType)
   363140    0.633    0.000    1.069    0.000 linalg.py:135(_commonType)
   363140    0.175    0.000    0.175    0.000 linalg.py:193(_assert_stacked_2d)
   363140    0.221    0.000    0.221    0.000 linalg.py:199(_assert_stacked_square)
   363140    2.883    0.000    5.211    0.000 linalg.py:2092(det)
   363140    0.064    0.000    0.064    0.000 linalg.py:472(_unary_dispatcher)
      282    0.001    0.000    0.002    0.000 lo_config.py:26(__init__)
      282    0.000    0.000    0.001    0.000 measure.py:26(__init__)
     2306    0.001    0.000    0.001    0.000 measure.py:30(broadcast_arguments)
      564    0.001    0.000    0.001    0.000 models.py:72(to_dict)
     2256    0.001    0.000    0.001    0.000 multiarray.py:341(where)
  3525818    6.385    0.000    9.718    0.000 multiprocessing.py:42(is_main_process)
    61670    0.009    0.000    0.009    0.000 numeric.py:421(_count_nonzero_dispatcher)
    61670    0.028    0.000    0.050    0.000 numeric.py:425(count_nonzero)
     3102    0.002    0.000    0.007    0.000 one_qubit_decompose.py:118(__init__)
  3268260    4.585    0.000  303.494    0.000 one_qubit_decompose.py:165(_decompose)
     3102    0.005    0.000    0.005    0.000 one_qubit_decompose.py:175(basis)
  3268260   21.280    0.000   88.435    0.000 one_qubit_decompose.py:220(_params_zyz)
   363140    0.429    0.000   10.811    0.000 one_qubit_decompose.py:242(_params_zxz)
   363140    3.090    0.000   14.083    0.000 one_qubit_decompose.py:248(_params_xyx)
   363140    4.207    0.000   24.964    0.000 one_qubit_decompose.py:270(_params_xzx)
   726280    0.661    0.000   21.400    0.000 one_qubit_decompose.py:279(_params_u3)
  1089420    0.989    0.000   29.691    0.000 one_qubit_decompose.py:289(_params_u1x)
  1089420    6.644    0.000   62.447    0.000 one_qubit_decompose.py:298(_circuit_kak)
   363140    0.308    0.000   21.791    0.000 one_qubit_decompose.py:369(_circuit_zyz)
   363140    0.321    0.000   20.083    0.000 one_qubit_decompose.py:399(_circuit_xzx)
   363140    0.300    0.000   21.502    0.000 one_qubit_decompose.py:414(_circuit_xyx)
   363140    1.709    0.000   18.989    0.000 one_qubit_decompose.py:439(_circuit_u321)
   363140    1.578    0.000   18.756    0.000 one_qubit_decompose.py:455(_circuit_u)
  1089420    6.934    0.000   65.758    0.000 one_qubit_decompose.py:467(_circuit_psx_gen)
   363140    0.352    0.000   20.494    0.000 one_qubit_decompose.py:510(_circuit_psx)
   597594    0.823    0.000    4.223    0.000 one_qubit_decompose.py:515(fnz)
   234454    0.337    0.000    1.836    0.000 one_qubit_decompose.py:520(fnx)
   363140    0.343    0.000   21.070    0.000 one_qubit_decompose.py:541(_circuit_u1x)
   597594    0.780    0.000    4.090    0.000 one_qubit_decompose.py:546(fnz)
   234454    0.545    0.000    2.676    0.000 one_qubit_decompose.py:551(fnx)
   363140    0.534    0.000   25.423    0.000 one_qubit_decompose.py:557(_circuit_zsxx)
   596436    1.031    0.000    5.697    0.000 one_qubit_decompose.py:562(fnz)
   232138    0.328    0.000    1.878    0.000 one_qubit_decompose.py:568(fnx)
     1158    0.002    0.000    0.012    0.000 one_qubit_decompose.py:571(fnxpi)
   363140    2.236    0.000   21.798    0.000 one_qubit_decompose.py:578(_circuit_rr)
  7006890    4.526    0.000    5.101    0.000 one_qubit_decompose.py:592(_mod_2pi)
   363140    3.330    0.000    4.093    0.000 one_qubit_decompose.py:600(_h_conjugate)
   694820    0.283    0.000    0.283    0.000 op_shape.py:104(num_qubits)
   104584    0.102    0.000    0.169    0.000 op_shape.py:220(auto)
   104584    0.067    0.000    0.067    0.000 op_shape.py:29(__init__)
      390    0.000    0.000    0.000    0.000 operator_base.py:47(__init__)
   952105    0.571    0.000    0.851    0.000 optimize_1q_decomposition.py:104(<genexpr>)
      757    4.661    0.006  342.168    0.452 optimize_1q_decomposition.py:142(run)
      282    0.020    0.000    0.034    0.000 optimize_1q_decomposition.py:31(__init__)
   363140    1.461    0.000  317.243    0.001 optimize_1q_decomposition.py:66(_resynthesize_run)
   363140    2.694    0.000  306.188    0.001 optimize_1q_decomposition.py:78(<dictcomp>)
  3268260    0.642    0.000    2.394    0.000 optimize_1q_decomposition.py:82(<lambda>)
   363140    1.183    0.000    3.757    0.000 optimize_1q_decomposition.py:86(_substitution_checks)
   726280    0.332    0.000    0.641    0.000 optimize_1q_decomposition.py:97(<genexpr>)
     5358    0.003    0.000    0.003    0.000 options.py:189(__getattr__)
     2256    0.001    0.000    0.001    0.000 options.py:200(get)
      282    0.000    0.000    0.000    0.000 options.py:68(__dict__)
      564    0.000    0.000    0.000    0.000 options.py:72(__setattr__)
      282    0.001    0.000    0.002    0.000 os.py:670(__getitem__)
      282    0.000    0.000    0.001    0.000 os.py:748(encode)
      282    0.001    0.000    0.003    0.000 os.py:766(getenv)
        3    0.000    0.000    0.000    0.000 p.py:163(__init__)
   341011    0.275    0.000    1.835    0.000 p.py:74(__init__)
      564    0.005    0.000  515.051    0.913 parallel.py:93(parallel_map)
     3050    0.001    0.000    0.001    0.000 parameter.py:117(__hash__)
       49    0.000    0.000    0.001    0.000 parameter.py:50(__new__)
     2602    0.019    0.000    0.034    0.000 parameter.py:70(__init__)
      217    0.000    0.000    0.000    0.000 parameter.py:92(name)
        7    0.000    0.000    0.000    0.000 parameterexpression.py:211(_raise_if_parameter_names_conflict)
       54    0.000    0.000    0.001    0.000 parameterexpression.py:229(_apply_operation)
        9    0.000    0.000    0.000    0.000 parameterexpression.py:319(__add__)
        5    0.000    0.000    0.000    0.000 parameterexpression.py:325(__sub__)
       13    0.000    0.000    0.000    0.000 parameterexpression.py:334(__neg__)
       27    0.000    0.000    0.000    0.000 parameterexpression.py:340(__truediv__)
     2656    0.004    0.000    0.004    0.000 parameterexpression.py:36(__init__)
       71    0.000    0.000    0.000    0.000 parameterexpression.py:53(parameters)
       82    0.000    0.000    0.000    0.000 parameterexpression.py:58(_names)
       20    0.000    0.000    0.000    0.000 parameterexpression.py:62(<dictcomp>)
   122743    0.124    0.000    0.154    0.000 parametertable.py:117(__init__)
      282    0.000    0.000    0.000    0.000 parametertable.py:232(__len__)
    61269    0.062    0.000    0.086    0.000 parametertable.py:264(__ne__)
  3712194    6.117    0.000    7.020    0.000 parametertable.py:27(__init__)
   122461    0.039    0.000    0.053    0.000 parametertable.py:286(__iter__)
  3712194    0.903    0.000    0.903    0.000 parametertable.py:34(<setcomp>)
      160    0.000    0.000    0.000    0.000 parametertable.py:36(__getitem__)
       50    0.000    0.000    0.000    0.000 parametertable.py:39(__setitem__)
       50    0.000    0.000    0.000    0.000 parametertable.py:63(get_names)
   184294    0.076    0.000    0.108    0.000 parametertable.py:76(__iter__)
    14714    0.009    0.000    0.013    0.000 parametervector.py:102(__iter__)
    29428    0.004    0.000    0.004    0.000 parametervector.py:105(__len__)
     2553    0.006    0.000    0.042    0.000 parametervector.py:23(__new__)
     2553    0.006    0.000    0.030    0.000 parametervector.py:37(__init__)
     7357    0.012    0.000    0.085    0.000 parametervector.py:72(__init__)
     2553    0.001    0.000    0.001    0.000 parametervector.py:79(name)
    14714    0.002    0.000    0.002    0.000 parametervector.py:84(params)
     1692    0.002    0.000    0.004    0.000 passmanager.py:160(_normalize_passes)
      282    0.002    0.000  511.271    1.813 passmanager.py:178(run)
      282    0.002    0.000    0.014    0.000 passmanager.py:227(_create_running_passmanager)
      282    0.138    0.000  511.269    1.813 passmanager.py:262(_run_single_circuit)
      282    0.000    0.000    0.000    0.000 passmanager.py:29(__init__)
     1692    0.002    0.000    0.006    0.000 passmanager.py:47(append)
      282    0.001    0.000    0.001    0.000 passmanager_config.py:22(__init__)
    61670    0.089    0.000    0.234    0.000 pauli.py:1045(_split_pauli_label)
    61670    0.134    0.000    1.943    0.000 pauli.py:154(__init__)
   308216    0.096    0.000    0.096    0.000 pauli.py:286(x)
   308216    0.224    0.000    0.224    0.000 pauli.py:295(z)
   308216    0.485    0.000    2.147    0.000 pauli.py:402(to_label)
    61670    0.842    0.000    1.497    0.000 pauli.py:595(_from_label)
    10418    0.007    0.000    0.010    0.000 pauli_evolution.py:116(time)
    10418    0.055    0.000  127.963    0.012 pauli_evolution.py:134(_define)
       35    0.000    0.000    0.000    0.000 pauli_evolution.py:138(validate_parameter)
       35    0.000    0.000    0.001    0.000 pauli_evolution.py:148(_to_sparse_pauli_op)
       35    0.000    0.000    0.004    0.000 pauli_evolution.py:177(_get_default_label)
       35    0.000    0.000    0.005    0.000 pauli_evolution.py:78(__init__)
    10735    0.019    0.000    0.265    0.000 pauli_list.py:1003(label_iter)
    10735    0.008    0.000    0.008    0.000 pauli_list.py:1014(LabelIterator)
    61670    0.073    0.000    0.264    0.000 pauli_list.py:1020(__getitem__)
    21476    0.026    0.000    0.131    0.000 pauli_list.py:103(__init__)
       38    0.001    0.000    0.014    0.000 pauli_list.py:150(_from_paulis)
    32208    0.146    0.000    0.631    0.000 pauli_list.py:236(phase)
    42911    0.013    0.000    0.013    0.000 pauli_list.py:274(size)
    61705    0.008    0.000    0.008    0.000 pauli_list.py:279(__len__)
    10700    0.234    0.000    0.367    0.000 pauli_list.py:287(__getitem__)
    10735    0.142    0.000    1.261    0.000 pauli_list.py:901(to_labels)
       35    0.000    0.000    0.000    0.000 pauli_sum_op.py:353(exp_i)
      320    0.000    0.000    0.001    0.000 pauli_sum_op.py:37(__init__)
      282    0.001    0.000    0.025    0.000 pauli_sum_op.py:381(__getitem__)
      285    0.000    0.000    0.025    0.000 pauli_sum_op.py:392(__iter__)
        3    0.000    0.000    0.000    0.000 pauli_sum_op.py:396(__len__)
       38    0.000    0.000    0.016    0.000 pauli_sum_op.py:431(from_list)
      282    0.001    0.000    0.002    0.000 pauli_sum_op.py:74(coeffs)
       35    0.000    0.000    0.000    0.000 pauli_trotter_evolution.py:108(_get_evolution_synthesis)
       35    0.000    0.000    0.010    0.000 pauli_trotter_evolution.py:114(_recursive_convert)
       35    0.000    0.000    0.000    0.000 pauli_trotter_evolution.py:53(__init__)
       70    0.000    0.000    0.000    0.000 pauli_trotter_evolution.py:81(trotter)
       35    0.000    0.000    0.010    0.000 pauli_trotter_evolution.py:91(convert)
  3525818    0.670    0.000    0.670    0.000 platform.py:747(uname)
  3525818    1.591    0.000    2.261    0.000 platform.py:885(system)
        2    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        2    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
        8    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        2    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        6    0.000    0.000    0.000    0.000 posixpath.py:71(join)
      282    0.009    0.000    0.123    0.000 postprocess.py:155(format_counts)
    29399    0.015    0.000    0.020    0.000 postprocess.py:20(_hex_to_bin)
    29399    0.014    0.000    0.027    0.000 postprocess.py:30(_pad_zeros)
    29399    0.020    0.000    0.025    0.000 postprocess.py:36(_separate_bitstring)
    29399    0.034    0.000    0.114    0.000 postprocess.py:46(format_counts_memory)
       35    0.000    0.000    0.010    0.000 precalc.py:160(ClusterOperatorCircuit)
      282    0.003    0.000    0.157    0.001 precalc.py:175(ExpectationCircuit)
        3    0.000    0.000    0.001    0.000 precalc.py:216(HartreeFock)
        1    0.859    0.859 1360.450 1360.450 precalc.py:236(run)
        3    0.000    0.000    0.008    0.003 precalc.py:28(readPauliExcitation)
        3    0.000    0.000    0.009    0.003 precalc.py:57(ReadHamiltonian)
        3    0.001    0.000    0.212    0.071 precalc.py:76(VQEEnergy)
     1024    0.000    0.000    0.000    0.000 primitive_op.py:109(primitive)
      634    0.000    0.000    0.000    0.000 primitive_op.py:118(coeff)
      390    0.000    0.000    0.000    0.000 primitive_op.py:44(<lambda>)
      390    0.000    0.000    0.001    0.000 primitive_op.py:95(__init__)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 printing.py:3(CCodePrinter)
  3525818    0.443    0.000    0.443    0.000 process.py:37(current_process)
    61192    0.057    0.000    0.057    0.000 product_formula.py:118(<listcomp>)
     2256    0.050    0.000    2.005    0.001 product_formula.py:154(_two_qubit_evolution)
     2256    0.014    0.000    0.014    0.000 product_formula.py:160(<listcomp>)
    61192    0.861    0.000   86.256    0.001 product_formula.py:181(_multi_qubit_evolution)
    61192    0.421    0.000   13.931    0.000 product_formula.py:211(diagonalizing_clifford)
    61192    0.542    0.000   19.645    0.000 product_formula.py:230(cnot_chain)
       35    0.000    0.000    0.000    0.000 product_formula.py:31(__init__)
    61192    0.052    0.000   87.997    0.001 product_formula.py:316(_default_atomic_evolution)
    61192    0.411    0.000   87.940    0.001 product_formula.py:91(evolve_pauli)
     1410    0.000    0.000    0.000    0.000 propertyset.py:20(__missing__)
      282    0.000    0.000    0.000    0.000 qasm_qobj.py:204(__init__)
   378507    0.121    0.000    0.121    0.000 qasm_qobj.py:27(__init__)
      564    0.001    0.000    0.001    0.000 qasm_qobj.py:282(__init__)
      282    0.000    0.000    0.001    0.000 qasm_qobj.py:429(__init__)
      282    0.000    0.000    0.000    0.000 qasm_qobj.py:560(__init__)
     2256    0.006    0.000    0.038    0.000 qasm_simulator.py:484(configuration)
     2256    0.005    0.000    0.006    0.000 qasm_simulator.py:624(_custom_instructions)
  2826614    0.358    0.000    0.358    0.000 quantumcircuit.py:1010(qubits)
  1321036    0.165    0.000    0.165    0.000 quantumcircuit.py:1017(clbits)
  3866580    0.908    0.000    1.180    0.000 quantumcircuit.py:1067(__len__)
  1443575    1.116    0.000    2.348    0.000 quantumcircuit.py:1091(qbit_argument_conversion)
      282    0.000    0.000    0.003    0.000 quantumcircuit.py:1106(cbit_argument_conversion)
   747447    3.580    0.000   16.820    0.000 quantumcircuit.py:1161(append)
   808813    0.123    0.000    0.129    0.000 quantumcircuit.py:1200(<genexpr>)
   747447    0.501    0.000    2.849    0.000 quantumcircuit.py:1204(<listcomp>)
   747447    0.112    0.000    0.115    0.000 quantumcircuit.py:1205(<listcomp>)
  7884280    5.634    0.000   17.209    0.000 quantumcircuit.py:1219(_append)
  9130843    9.183    0.000   11.766    0.000 quantumcircuit.py:1264(_update_parameter_table)
       21    0.000    0.000    0.000    0.000 quantumcircuit.py:1288(_check_dup_param_spec)
  3650925   21.732    0.000   47.488    0.000 quantumcircuit.py:1299(add_register)
  7548313    1.440    0.000    1.902    0.000 quantumcircuit.py:1304(<genexpr>)
  3652341    0.618    0.000    0.619    0.000 quantumcircuit.py:1331(<genexpr>)
   245896    1.383    0.000    2.693    0.000 quantumcircuit.py:1370(add_bits)
   749189    2.108    0.000    2.419    0.000 quantumcircuit.py:1426(_check_dups)
    61192    0.287    0.000   30.282    0.000 quantumcircuit.py:1454(to_gate)
      282    0.009    0.000  137.221    0.487 quantumcircuit.py:1476(decompose)
   550875    0.245    0.000    0.372    0.000 quantumcircuit.py:1943(num_qubits)
   489683    0.190    0.000    0.283    0.000 quantumcircuit.py:1953(num_clbits)
    61551    0.478    0.000   14.568    0.000 quantumcircuit.py:2082(copy)
  3650643   23.360    0.000  103.388    0.000 quantumcircuit.py:210(__init__)
    61551    0.284    0.000    0.392    0.000 quantumcircuit.py:2101(<dictcomp>)
    61551    0.518    0.000   11.422    0.000 quantumcircuit.py:2103(<dictcomp>)
    61551    0.014    0.000    0.014    0.000 quantumcircuit.py:2106(<dictcomp>)
       47    0.000    0.000    0.000    0.000 quantumcircuit.py:2107(<listcomp>)
    61551    0.569    0.000    0.857    0.000 quantumcircuit.py:2115(<listcomp>)
      282    0.000    0.000    0.010    0.000 quantumcircuit.py:2127(_create_creg)
      282    0.000    0.000    0.000    0.000 quantumcircuit.py:2129(<listcomp>)
      282    0.000    0.000    0.018    0.000 quantumcircuit.py:2160(measure)
  7547749    2.099    0.000    2.749    0.000 quantumcircuit.py:217(<genexpr>)
      282    0.001    0.000    0.048    0.000 quantumcircuit.py:2205(measure_all)
   392584    0.084    0.000    0.084    0.000 quantumcircuit.py:221(<genexpr>)
   392584    0.063    0.000    0.063    0.000 quantumcircuit.py:231(<genexpr>)
  1538056    0.234    0.000    0.234    0.000 quantumcircuit.py:2336(global_phase)
  5567272    3.486    0.000    4.151    0.000 quantumcircuit.py:2341(global_phase)
   122743    0.156    0.000    0.524    0.000 quantumcircuit.py:2358(parameters)
   122743    0.165    0.000    0.275    0.000 quantumcircuit.py:2374(_unsorted_parameters)
    61192    0.281    0.000   15.360    0.000 quantumcircuit.py:2382(assign_parameters)
    61192    0.012    0.000    0.012    0.000 quantumcircuit.py:2466(<listcomp>)
    61192    0.036    0.000    0.044    0.000 quantumcircuit.py:2525(_unroll_param_dict)
      282    0.001    0.000    0.012    0.000 quantumcircuit.py:2643(barrier)
   230616    0.557    0.000    4.965    0.000 quantumcircuit.py:2715(h)
        8    0.000    0.000    0.000    0.000 quantumcircuit.py:2806(p)
   568211    0.338    0.000    0.496    0.000 quantumcircuit.py:289(data)
        2    0.000    0.000    0.000    0.000 quantumcircuit.py:2971(rx)
        1    0.000    0.000    0.000    0.000 quantumcircuit.py:3039(ry)
    61195    0.203    0.000    2.689    0.000 quantumcircuit.py:3107(rz)
   115308    0.307    0.000    2.745    0.000 quantumcircuit.py:3221(sdg)
   402939    0.160    0.000    0.160    0.000 quantumcircuit.py:324(calibrations)
        4    0.000    0.000    0.000    0.000 quantumcircuit.py:3321(sx)
      564    0.001    0.000    0.001    0.000 quantumcircuit.py:333(calibrations)
        1    0.000    0.000    0.000    0.000 quantumcircuit.py:3336(sxdg)
        4    0.000    0.000    0.000    0.000 quantumcircuit.py:3411(u)
   157854    0.037    0.000    0.037    0.000 quantumcircuit.py:343(metadata)
        1    0.000    0.000    0.000    0.000 quantumcircuit.py:3435(cu)
      564    0.000    0.000    0.001    0.000 quantumcircuit.py:356(metadata)
        8    0.000    0.000    0.000    0.000 quantumcircuit.py:3664(x)
   278268    0.762    0.000   13.584    0.000 quantumcircuit.py:3680(cx)
  3711835    2.365    0.000    2.365    0.000 quantumcircuit.py:375(_increment_instances)
  3525818    0.638    0.000    0.638    0.000 quantumcircuit.py:379(cls_instances)
  3464626    0.735    0.000    0.735    0.000 quantumcircuit.py:385(cls_prefix)
  3525818    4.255    0.000   14.611    0.000 quantumcircuit.py:390(_name_update)
       25    0.000    0.000    0.000    0.000 quantumcircuit.py:4672(_standard_compare)
       25    0.000    0.000    0.000    0.000 quantumcircuit.py:4680(_compare_parameters)
  1443857    0.800    0.000    1.058    0.000 quantumcircuit.py:4790(_bit_argument_conversion)
      564    0.001    0.000    0.004    0.000 quantumcircuit.py:4823(<listcomp>)
     4048    0.001    0.000    0.002    0.000 quantumcircuit.py:4836(_bit_argument_conversion_scalar)
   122384    0.789    0.000   17.579    0.000 quantumcircuit.py:512(inverse)
   305995    4.890    0.000   59.341    0.000 quantumcircuit.py:767(compose)
  1246563    1.050    0.000    1.266    0.000 quantumcircuit.py:888(<listcomp>)
  1246563    1.557    0.000    1.557    0.000 quantumcircuit.py:889(<listcomp>)
   568211    0.159    0.000    0.159    0.000 quantumcircuitdata.py:26(__init__)
  5957052    1.161    0.000    1.161    0.000 quantumcircuitdata.py:29(__getitem__)
    42888    0.019    0.000    0.025    0.000 quantumcircuitdata.py:63(__len__)
  5291645    6.004    0.000   23.868    0.000 quantumregister.py:28(__init__)
   725127    0.577    0.000    4.530    0.000 r.py:48(__init__)
    61670    0.040    0.000    0.131    0.000 re.py:198(search)
        1    0.000    0.000    0.000    0.000 re.py:250(compile)
    61671    0.041    0.000    0.059    0.000 re.py:289(_compile)
  3535901    3.427    0.000   27.302    0.000 register.py:124(<listcomp>)
  3874325    0.539    0.000    0.539    0.000 register.py:132(name)
  8997901    1.231    0.000    1.231    0.000 register.py:137(size)
  5293687    0.667    0.000    0.667    0.000 register.py:142(__repr__)
  5770482    4.046    0.000    5.341    0.000 register.py:150(__getitem__)
 10485754    3.243    0.000    3.243    0.000 register.py:175(__iter__)
   435218    0.258    0.000    0.458    0.000 register.py:179(__contains__)
   157008    0.129    0.000    0.165    0.000 register.py:181(<dictcomp>)
 11600393    2.706    0.000    2.706    0.000 register.py:195(__eq__)
  5885913    0.773    0.000    0.773    0.000 register.py:225(__hash__)
    91788    0.047    0.000    0.047    0.000 register.py:229(__getstate__)
    91788    0.045    0.000    0.045    0.000 register.py:235(__setstate__)
  3535901   15.902    0.000   47.552    0.000 register.py:40(__init__)
      282    0.000    0.000    0.176    0.001 remove_reset_in_zero_state.py:23(run)
      564    0.001    0.000    0.004    0.000 result.py:149(data)
      282    0.004    0.000    0.149    0.001 result.py:256(get_counts)
      282    0.001    0.000    0.001    0.000 result.py:288(<dictcomp>)
      846    0.003    0.000    0.005    0.000 result.py:351(_get_experiment)
      846    0.001    0.000    0.001    0.000 result.py:384(<listcomp>)
      282    0.000    0.000    0.001    0.000 run_config.py:33(__init__)
      564    0.000    0.000    0.000    0.000 run_config.py:87(to_dict)
      282    0.013    0.000  511.116    1.812 runningpassmanager.py:104(run)
     9351    0.021    0.000  504.508    0.054 runningpassmanager.py:137(_do_pass)
     9351    0.364    0.000  504.455    0.054 runningpassmanager.py:181(_run_this_pass)
     9351    0.025    0.000    0.034    0.000 runningpassmanager.py:229(_log_pass)
     9351    0.012    0.000    0.026    0.000 runningpassmanager.py:233(_update_valid_passes)
      564    0.001    0.000    0.001    0.000 runningpassmanager.py:248(__init__)
    11236    0.003    0.000    0.003    0.000 runningpassmanager.py:253(__iter__)
2256/1692    0.003    0.000    0.006    0.000 runningpassmanager.py:294(controller_factory)
     1692    0.001    0.000    0.001    0.000 runningpassmanager.py:327(__init__)
      282    0.000    0.000    0.001    0.000 runningpassmanager.py:335(__init__)
      282    0.001    0.000    0.002    0.000 runningpassmanager.py:34(__init__)
     7095    0.005    0.000    0.010    0.000 runningpassmanager.py:340(__iter__)
      282    0.000    0.000    0.001    0.000 runningpassmanager.py:353(__init__)
      282    0.000    0.000    0.001    0.000 runningpassmanager.py:357(__iter__)
     1692    0.003    0.000    0.011    0.000 runningpassmanager.py:60(append)
     1692    0.001    0.000    0.001    0.000 runningpassmanager.py:96(_normalize_flow_controller)
        2    0.000    0.000    0.000    0.000 rx.py:162(__init__)
   892647    0.747    0.000    4.924    0.000 rx.py:50(__init__)
        5    0.000    0.000    0.000    0.000 rxx.py:71(__init__)
        1    0.000    0.000    0.000    0.000 ry.py:161(__init__)
   353732    0.252    0.000    1.691    0.000 ry.py:49(__init__)
        1    0.000    0.000    0.000    0.000 ryy.py:72(__init__)
    88984    0.515    0.000    0.761    0.000 rz.py:110(__array__)
        2    0.000    0.000    0.000    0.000 rz.py:179(__init__)
  1044094    0.831    0.000    6.143    0.000 rz.py:59(__init__)
        6    0.000    0.000    0.000    0.000 rzx.py:117(__init__)
        1    0.000    0.000    0.000    0.000 rzz.py:84(__init__)
