... using circuit method 1
************
Executing VQE with num_qubits 4
************
Executing VQE with num_qubits 6
************
Executing VQE with num_qubits 8
         1237734946 function calls (1185790356 primitive calls) in 1359.740 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
     14/1    0.000    0.000    0.034    0.034 <frozen importlib._bootstrap_external>:842(exec_module)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.005    0.005 1360.455 1360.455 <string>:1(<module>)
  6955266    2.053    0.000    4.362    0.000 <string>:1(__new__)
        5    0.000    0.000    0.011    0.002 __init__.py:1(<module>)
     10/1    0.000    0.000    0.000    0.000 __init__.py:101(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:103(<listcomp>)
        1    0.000    0.000    0.009    0.009 __init__.py:109(import_module)
        5    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
     1039    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
    14353    0.007    0.000    0.015    0.000 __init__.py:1436(info)
        2    0.000    0.000    0.000    0.000 __init__.py:15(_py_abspath)
        5    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
    15392    0.008    0.000    0.008    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:183(AliasModule)
        3    0.001    0.000    0.113    0.038 __init__.py:183(dumps)
        6    0.000    0.000    0.001    0.000 __init__.py:186(getmod)
        1    0.000    0.000    0.000    0.000 __init__.py:197(AliasModule)
        6    0.000    0.000    0.001    0.000 __init__.py:201(__getattribute__)
        5    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        5    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        6    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:40(initpkg)
   715536    0.180    0.000    0.180    0.000 __init__.py:427(__getnewargs__)
        1    0.000    0.000    0.000    0.000 __init__.py:54(<listcomp>)
        6    0.000    0.000    0.001    0.000 __init__.py:73(importobj)
        1    0.000    0.000    0.000    0.000 __init__.py:86(ApiModule)
        1    0.000    0.000    0.000    0.000 __init__.py:96(__docset)
  3268260    0.863    0.000    1.279    0.000 _base.py:1294(isspmatrix)
      282    0.001    0.000    0.003    0.000 _base.py:316(__init__)
      282    0.000    0.000    0.000    0.000 _base.py:386(__get_result)
      282    0.003    0.000  704.796    2.499 _base.py:416(result)
  3268260   16.192    0.000   63.328    0.000 _basic.py:977(det)
        9    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
      282    0.001    0.000    0.002    0.000 _collections_abc.py:657(get)
       71    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
   122743    0.030    0.000    0.030    0.000 _collections_abc.py:698(__init__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
  5953304    2.297    0.000    3.457    0.000 _collections_abc.py:870(__iter__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:92(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _error.py:35(ErrorMaker)
        1    0.000    0.000    0.000    0.000 _error.py:8(Error)
  3268260    1.789    0.000    1.789    0.000 _flinalg_py.py:20(has_column_major_storage)
  3268260    9.389    0.000   14.018    0.000 _flinalg_py.py:27(get_flinalg_funcs)
    21470    0.010    0.000    0.063    0.000 _methods.py:54(_any)
  3268260    1.177    0.000   12.168    0.000 _methods.py:60(_all)
  3268260    0.555    0.000    0.555    0.000 _misc.py:180(_datacopied)
  3268260    8.500    0.000   32.102    0.000 _util.py:241(_asarray_validated)
   556898    0.424    0.000    0.534    0.000 _utils.py:65(_ctrl_state_to_int)
        1    0.000    0.000    0.000    0.000 _version.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
    54/48    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
    10736    0.015    0.000    0.208    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.000    0.000 abc.py:89(register)
   169153    0.049    0.000    0.130    0.000 abc.py:96(__instancecheck__)
      282    0.001    0.000    0.003    0.000 aer_compiler.py:227(compile_circuit)
      282    0.000    0.000    0.000    0.000 aer_compiler.py:31(__init__)
      282    0.001    0.000    0.002    0.000 aer_compiler.py:34(compile)
      282    0.001    0.000    0.001    0.000 aer_compiler.py:80(_is_dynamic)
      282    0.004    0.000    5.165    0.018 aerbackend.py:122(run)
      846    0.001    0.000    0.002    0.000 aerbackend.py:238(properties)
      282    0.001    0.000    0.001    0.000 aerbackend.py:250(defaults)
      282    0.006    0.000    3.476    0.012 aerbackend.py:363(_assemble)
      282    0.001    0.000    0.178    0.001 aerbackend.py:372(<listcomp>)
      282    0.001    0.000    0.002    0.000 aerbackend.py:400(<listcomp>)
     3003    0.001    0.000    0.001    0.000 aerbackend.py:401(<genexpr>)
      282    0.001    0.000    0.002    0.000 aerbackend.py:415(_assemble_noise_model)
      282    0.001    0.000    0.001    0.000 aerjob.py:29(__init__)
      282    0.001    0.000    1.677    0.006 aerjob.py:48(submit)
      282    0.001    0.000  704.797    2.499 aerjob.py:60(result)
